Feature ID	Taxon	Confidence
dd599b06e0976f4b08f6ca7b6a194e36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__	0.9999977168379305
5b46dac9c8eb12420397a1ec839246c3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.9900122421705037
235a1388581d3a59f99cefd4ad028a38	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.7922144491498528
3b6620a70cf45f8d69b002267764669f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9972167718224583
2068e986dcdb8487a3231d2831b80053	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999999994105617
7f6b0b9f9b4efa0c66e074da95629d12	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999998501149517
63e6749a672c3647d46a4c2bb0542215	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9665500838229784
f61816b10486dce5e78af6e5c938dcb9	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium; s__cocleatum	0.9795503958829143
a0f888b02dae3a0c4358ffaf1a661db5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9998924927265672
64e6bd095932f1c1b1d821d564f8d620	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9986215420292841
ed7400fde539d5fdead3868b2a520bb2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9993937403935308
44e5747e0dcccc08b453839056f0cda9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.990940427114737
c08764ff723e6aff9ec26367c57c38b4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8954126672331933
b0737b0f4eefafd6d745584f6af74d53	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9995494344818426
564fa227e04752321a0fd45b35854e6c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9957193220907793
c32c1e6b8aea10ad67bac0c18ae0cbfa	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999989909734592
74378dadd3c19f64fb790cfb751d5e20	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.999751109327445
225d14a992ecc5dba6006322107ed312	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9966068382211404
d02b8ecf00c29ef92044a891e3cf9dda	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9982049644469897
e2957883c6f7ecd85b28264f5c5defb1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9605890121438243
8b8bbcf586b1aade67d523b011cf17a5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9625653147169703
e09e1f347e3a3135e92cb55be8b37b78	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9997705923481253
9d2adc650403848dfa3d8cf3cba18abc	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0.9040829989780977
965df6528c59ba53dfd5f3a987b715f6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.9998632672987648
e273d39d38d3994d2a07b77186ed4179	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.91866070418517
84d4f2063b63894c8013966c0f1098b2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9090767249470723
73f14d03d440b253e6e671db77fb578a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8413694535832562
143cfbe465da204a42554ecc3ca67103	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9385775047539301
3c419cc5c708d07d28ac7ca7f7d94b57	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.8616079894106784
eff281275f5053c5f935dbba90be0bb1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.999989941214673
aa4a7f24f19cf9cb74af81d7f47030bf	k__Bacteria	0.9323902516620103
6808ed654f3831be49b60984855065c5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	0.9979836480629183
7f736b466d6f25bd86a926b2e6fa79ce	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.858147559388916
